Problem description,Solution
Actual date(s) in the future(check  parameters ),Change time in the Activity
Login unsuccessful,Order is already in Closed/TECO status in SAP.
Error while checking and storing +FILE NAME(Eg:- FOC checklist),Attached document is moved or renamed in the previous location. Inform user to rename/place the file in the same folder while thay linked to order.
Login unsuccessful,SAP Password of the user is expired or locked.
problem in BAPI create ZPM-FM DONOTIFICATION while going to make the method,Production Issue. Fixed
site cant be reached -sappdeapp.hec.dewa.gov.ae44301,No Internet Connection/ VPN Issue
__0000000000001 confirmation are incorrect or details parameters DETAILS RETURN Actual date(s) in the future(check  parameters ),Time confirmation entered for the future date. Inform the user to edit and change.
error ssl=0x700c288 I/O error during call systems system caused connection abort,No Network/VPN/SMP Server Down
"In maps while searching location ""result not found something missing""",NA
Communication Error with IP,No Network/VPN/SMP Server Down
BAPI call must have a save file or dialog method,Order is already in Closed/TECO status in SAP.
Activitiesupdatesteplet:Time collision (time) with 00:00,Issue due to the CATS entry time collision with other entry. Inform user to change the time according to the past CATS approved entries.
Failed to connect to 10.12.199.105(port 8085) from (port ---) connection failed ECONNBORTED software connection abort),No Network/VPN/SMP Server Down
Angel connection failed,No Network/VPN/SMP Server Down
outlook login issue (server timeout),NA
Activitiesupdatesteplet- system status CNF 0080005144 0907 is active,The Activity is already in confirmed status. Inform user to discard that activity.
Activitiesupdatesteplet- A confirmation function can only be executed in dialog mode,Production Issue. Fixed
Reserved quantity execeded by 2EA,Material quantity entered is more the available quantity
SSL handshake aborted ssl=0x71----I/O error during system call,No Network/VPN/SMP Server Down
Notificationcompletesteplet - notification 420194077 cannot be completed,Notification is already in Closed Status in SAP. Discard the Notification.
Attachmentcapturesteplet- object SMQMEL does not exist,Application Bug. Fixed
NotificationACCPsteplet-05.08.2020 23 00 26 invalid user status ACCP,Application Bug. Fixed
java.security.cert.certpathvalidator Expectation : Trust anchor for certification path not found,Install Certificate for SMP
server cannot synchronize with client definitions,Agentry application version in the device does not have the same version in the SMP server. Install latest version application.
unexpected disconnection from server,No Network/VPN/SMP Server Down
NotificationCLSDsteplet-no authorization for activating user status SITV,No Authorization to change the Notification Status. Redirect to Functional Consultant.
getworkordersteplet-com.syclo.sap.component.notification,Application Bug. Fixed
attempt to call a UNI native method after a java object c++,Server Issue. Restart SMP.
