Notification 000220410191 is not locked,"Notification * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform  your coordinator to remove the lock."
Order 520610560 is locked and cannot be changed,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
BAPI call must have a SAVE or DIALOG method,Work Order * is already in Closed Status in SAP ECC System. Please discard this order and synchronize again.
"The context with the session id [session-4771] scope type [null] is currently used in thread Thread-418268 [0x6b5fd].Current thread is SAPWM64ker 10032 Thread [0x7a8].),  |",Issue due to Network Disruption. Please try to synchronize again
Order 520607862 is currently being processed .,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
"The context with the session id [session-17] scope type [null] is currently used in thread Thread-19138 [0x4eba].Current thread is SAPWM64ker 10100 Thread [0x34c4].),  |",Issue due to Network Disruption. Please try to synchronize again
Order 520551605 is currently being processed .,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Order 1000502275 is currently being processed .,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Notification 000220413194 is not locked,"Notification * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform  your coordinator to remove the lock."
Order 510610956 is locked and cannot be changed,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Notification 000210294845 is not locked,"Notification * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform  your coordinator to remove the lock."
"The context with the session id [session-3093] scope type [null] is currently used in thread Thread-510823 [0x7ee51].Current thread is SAPWM64ker 10176 Thread [0xc7e6].),  |",Issue due to Network Disruption. Please try to synchronize again
Order 520583310 is locked and cannot be changed,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Notification 002000696942 is not locked,"Notification * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform  your coordinator to remove the lock."
Order 520590088 is currently being processed .,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Order 1000505316 is currently being processed .,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Order 1000498558 is currently being processed .,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Notification 000220411761 is not locked,"Notification * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform  your coordinator to remove the lock."
Order 520451732 is locked and cannot be changed,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
21.08.2020 11:46:39  - Invalid User status E0017 for mobile status ZMMC,User Status * not properly mapped for the Notification Type. Please check with the Mobile Application Support Team.
Order 1000494356 is currently being processed .,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Notification 002000689984 is not locked,"Notification * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform  your coordinator to remove the lock."
Order 520575734 is currently being processed .,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
Order 520511750 is locked and cannot be changed,"Work Order * is currently opened in SAP ECC System and is locked by other user. Please try to synchronize after some time.
In case of emergency, please inform your coordinator to remove the lock."
